"","x"
"325",8.57720721233504
"326",5.4343500694779
"327",6.50577864090647
"328",7.00577864090647
"329",6.29149292662076
"330",6.87348394725319
"331",6.97897646848478
"332",6.72006435519219
"333",5.10584385748681
"334",8.17727242891538
"335",2.7569119534713
"336",6.29149292662076
"337",8.72006435519218
"338",6.36292149804933
"339",6.9343500694779
"340",8.72006435519218
"341",7.07720721233504
"342",6.64863578376361
"343",8.29149292662076
"344",7.29149292662076
"345",6.36292149804933
"346",5.79149292662075
"347",6.64863578376361
"348",7.0877696615389
"349",8.05040503991335
"350",6.9343500694779
"351",5.67727242891538
"352",3.82012957177252
"353",5.97119766775702
"354",6.14863578376361
"355",8.97509985885137
"356",8.54652843027994
"357",8.26081414456565
"358",7.4036712874228
"359",7.26081414456565
"360",8.18938557313708
"361",6.68938557313708
"362",7.61795700170851
"363",6.61795700170851
"364",7.47509985885137
"365",8.04652843027994
"366",7.40367128742279
"367",8.97509985885137
"368",7.76081414456565
"369",8.26081414456565
"370",8.11795700170851
"371",7.76081414456565
"372",7.04652843027994
"373",7.26081414456565
"374",7.26081414456565
"375",7.04652843027994
"376",7.9036712874228
"377",3.76081414456565
"378",6.97509985885137
"379",8.11795700170851
"380",7.26081414456565
"381",7.83224271599422
"382",8.04652843027994
"383",6.33224271599422
"384",7.18938557313708
"385",7.54652843027994
"386",7.83224271599422
"387",6.97509985885136
"388",3.83224271599422
"389",7.54652843027994
"390",3.18938557313708
"391",9.04652843027994
"392",7.97509985885137
"393",7.61795700170851
"394",7.68938557313708
"395",3.9036712874228
"396",8.11795700170851
"397",6.76081414456565
"398",7.83224271599422
"399",5.33224271599422
"400",4.47509985885137
"401",7.11795700170851
"402",7.54652843027994
"403",8.61795700170851
"404",8.40367128742279
"405",8.47509985885137
"406",6.18938557313708
"407",8.76081414456565
"408",3.11795700170851
"409",5.9036712874228
"410",7.26081414456565
"411",7.61795700170851
"412",7.47509985885137
"413",4.83224271599422
"414",5.54652843027994
"415",8.90367128742279
"416",9.04652843027994
"417",7.4036712874228
