"team","group_team","opp_team","group_opp_team","match_num_third_place","simulation"
"Poland","7","Belgium","1","1","73"
"Uruguay","8","Mexico","3","1","74"
"Mexico","6","England","1","1","75"
"Denmark","6","Belgium","4","1","76"
"Croatia","5","Morocco","4","1","77"
"Portugal","5","Italy","6","1","78"
"Denmark","6","Germany","4","1","79"
"Denmark","6","France","6","1","80"
"Germany","3","Switzerland","5","1","81"
"Germany","3","Belgium","3","1","82"
"Japan","8","Chile","1","1","83"
"Germany","3","Colombia","8","1","84"
"Germany","2","Portugal","1","1","85"
"Portugal","4","Uruguay","2","1","86"
"Belgium","2","Tunisia","1","1","87"
"Spain","5","Mexico","2","1","88"
"Mexico","3","Uruguay","1","1","89"
"Italy","8","Poland","2","1","90"
"Qatar","4","France","1","1","91"
"Portugal","6","Argentina","5","1","92"
"Netherlands","3","Argentina","5","1","93"
"Senegal","5","Italy","5","1","94"
"Colombia","3","Italy","7","1","95"
"Mexico","2","Argentina","1","1","96"
"Iran","6","Belgium","6","1","97"
"Italy","7","Denmark","7","1","98"
"Wales","3","Netherlands","6","1","99"
"Netherlands","8","France","6","1","100"
"Netherlands","6","Uruguay","8","1","101"
"France","8","Argentina","6","1","102"
"Belgium","1","Spain","6","1","103"
"Denmark","4","Belgium","1","1","104"
"Denmark","8","Netherlands","5","1","105"
"England","4","Brazil","8","1","106"
"Argentina","5","Qatar","4","1","107"
"Croatia","4","France","5","1","108"
"France","8","England","6","1","109"
"Brazil","2","Switzerland","1","1","110"
"Croatia","4","England","3","1","111"
"Portugal","5","Mexico","8","1","112"
"Germany","1","Brazil","1","1","113"
"France","3","Portugal","6","1","114"
"England","7","Croatia","5","1","115"
"Uruguay","1","Germany","2","1","116"
"Italy","4","England","4","1","117"
"Qatar","1","Chile","6","1","118"
"Denmark","6","Italy","3","1","119"
"France","2","Korea Republic","6","1","120"
"Poland","1","Mexico","3","1","121"
"Denmark","7","Mexico","6","1","122"
"Croatia","7","Portugal","1","1","123"
"England","6","Mexico","1","1","124"
"Mexico","2","Belgium","4","1","125"
"Spain","6","Brazil","8","1","126"
"Italy","4","Argentina","6","1","127"
"Germany","3","Denmark","3","1","128"
"France","1","Brazil","3","1","129"
"Netherlands","5","Italy","6","1","130"
"Switzerland","8","Spain","2","1","131"
"Croatia","8","Portugal","8","1","132"
"Brazil","1","Spain","8","1","133"
"Croatia","6","Argentina","3","1","134"
"Netherlands","3","Spain","5","1","135"
"Germany","1","Spain","2","1","136"
"United States","4","France","1","1","137"
"Japan","6","England","1","1","138"
"Brazil","5","Mexico","6","1","139"
"Qatar","1","Denmark","8","1","140"
"Colombia","8","Croatia","1","1","141"
"Spain","2","Italy","1","1","142"
"Poland","2","Spain","7","1","143"
"Japan","6","Italy","4","1","144"
"Mexico","7","Spain","7","1","145"
"Denmark","8","Iran","6","1","146"
"Italy","3","Croatia","6","1","147"
"Italy","2","Denmark","3","1","148"
"Uruguay","1","Brazil","8","1","149"
"Portugal","5","Belgium","8","1","150"
"Netherlands","1","Mexico","1","1","151"
"Chile","2","Portugal","6","1","152"
"Uruguay","1","Portugal","2","1","153"
"Netherlands","8","Italy","8","1","154"
"Switzerland","2","Germany","7","1","155"
"Denmark","4","Belgium","4","1","156"
"Italy","5","Portugal","2","1","157"
"Denmark","2","France","2","1","158"
"France","1","Colombia","4","1","159"
"Portugal","7","Argentina","1","1","160"
"Switzerland","1","Brazil","2","1","161"
"Korea Republic","3","Iran","4","1","162"
"Colombia","8","Belgium","7","1","163"
"Belgium","1","Uruguay","7","1","164"
"Korea Republic","7","Germany","8","1","165"
"Denmark","5","Brazil","3","1","166"
"Uruguay","4","Denmark","1","1","167"
"Brazil","6","Australia","1","1","168"
"Iran","5","Denmark","6","1","169"
"Spain","6","Germany","2","1","170"
"Argentina","1","France","8","1","171"
"France","1","Colombia","3","1","172"
"Mexico","4","Senegal","3","1","173"
"Italy","6","England","4","1","174"
"Wales","6","Croatia","7","1","175"
"Brazil","5","Spain","8","1","176"
"Belgium","1","Netherlands","3","1","177"
"Spain","1","Morocco","8","1","178"
"Algeria","1","Uruguay","4","1","179"
"Croatia","6","Germany","3","1","180"
"Germany","1","Mexico","1","1","181"
"England","2","France","6","1","182"
"Uruguay","4","Germany","4","1","183"
"Netherlands","6","Korea Republic","3","1","184"
"Netherlands","4","Portugal","8","1","185"
