"team","group_team","opp_team","group_opp_team","match_num_quarter","simulation"
"Poland","6","Portugal","8","2","34"
"Brazil","1","Croatia","4","3","34"
"Mexico","6","Italy","8","4","34"
"Uruguay","2","Netherlands","3","1","35"
"Argentina","6","Portugal","8","2","35"
"Belgium","1","England","3","3","35"
"France","5","Korea Republic","7","4","35"
"Italy","1","Denmark","4","1","36"
"Brazil","6","Spain","7","2","36"
"Wales","2","Portugal","4","3","36"
"Belgium","5","France","7","4","36"
"Spain","2","Argentina","3","1","37"
"England","6","Iran","7","2","37"
"Poland","1","Belgium","4","3","37"
"France","5","Brazil","7","4","37"
"Argentina","1","Chile","4","1","38"
"Algeria","5","Brazil","8","2","38"
"Wales","1","Spain","3","3","38"
"Belgium","5","Portugal","8","4","38"
"Costa Rica","1","Colombia","3","1","39"
"Netherlands","6","Poland","7","2","39"
"Brazil","1","Wales","4","3","39"
"Belgium","5","Mexico","7","4","39"
"Netherlands","1","Spain","4","1","40"
"Colombia","5","England","8","2","40"
"Tunisia","1","Portugal","4","3","40"
"France","6","Belgium","8","4","40"
"Colombia","2","Poland","4","1","41"
"Netherlands","5","Brazil","7","2","41"
"Morocco","1","Argentina","4","3","41"
"France","6","Belgium","7","4","41"
"Brazil","1","England","3","1","42"
"France","6","Colombia","8","2","42"
"Uruguay","1","Italy","4","3","42"
"Argentina","5","Belgium","8","4","42"
"Mexico","2","Italy","3","1","43"
"Netherlands","5","Brazil","7","2","43"
"France","2","England","4","3","43"
"Spain","6","Portugal","7","4","43"
"Iran","1","Netherlands","4","1","44"
"Croatia","6","Denmark","8","2","44"
"England","1","Brazil","4","3","44"
"Argentina","6","Portugal","7","4","44"
"Netherlands","2","Argentina","3","1","45"
"Uruguay","6","Belgium","8","2","45"
"Brazil","1","Korea Republic","3","3","45"
"Australia","6","England","7","4","45"
"Poland","2","France","4","1","46"
"Colombia","6","Croatia","7","2","46"
"England","1","Brazil","3","3","46"
"Portugal","6","Argentina","7","4","46"
"Italy","2","Uruguay","3","1","47"
