"team","group_team","opp_team","group_opp_team","match_num_quarter","simulation"
"Mexico","6","Japan","8","2","79"
"Iran","1","Croatia","4","3","79"
"Costa Rica","6","England","8","4","79"
"Iran","1","France","3","1","80"
"Germany","6","Japan","8","2","80"
"Spain","2","Australia","4","3","80"
"Switzerland","5","England","8","4","80"
"Spain","2","Croatia","3","1","81"
"Germany","6","Panama","8","2","81"
"Iran","1","Denmark","3","3","81"
"Serbia","5","England","7","4","81"
"Uruguay","1","France","3","1","82"
"Brazil","6","Belgium","8","2","82"
"Spain","2","Argentina","3","3","82"
"Costa Rica","6","England","8","4","82"
"Russia","1","France","3","1","83"
"South Korea","6","Colombia","8","2","83"
"Uruguay","1","Croatia","4","3","83"
"Mexico","6","England","8","4","83"
"Portugal","1","Argentina","3","1","84"
"Germany","5","Colombia","7","2","84"
"Egypt","2","Peru","3","3","84"
"Costa Rica","6","Japan","8","4","84"
"Uruguay","1","France","3","1","85"
"Brazil","6","Senegal","8","2","85"
"Russia","2","Iceland","4","3","85"
"Mexico","6","Colombia","8","4","85"
"Uruguay","1","Croatia","3","1","86"
"Brazil","6","Poland","8","2","86"
"Russia","1","Argentina","3","3","86"
"Mexico","5","Colombia","7","4","86"
"Russia","1","France","4","1","87"
"Brazil","6","Japan","8","2","87"
"Uruguay","1","Argentina","3","3","87"
"Costa Rica","6","Panama","7","4","87"
"Uruguay","1","Argentina","3","1","88"
"Mexico","6","England","8","2","88"
"Iran","1","France","4","3","88"
"Costa Rica","6","Colombia","7","4","88"
"Iran","1","Croatia","3","1","89"
"Sweden","6","England","8","2","89"
"Spain","2","Argentina","3","3","89"
"Mexico","6","Colombia","8","4","89"
"Saudi Arabia","2","Denmark","3","1","90"
"Germany","6","England","7","2","90"
"Portugal","1","Croatia","3","3","90"
"Switzerland","5","Japan","8","4","90"
"Iran","1","Croatia","3","1","91"
"Brazil","6","Poland","8","2","91"
"Portugal","1","Argentina","3","3","91"
"Germany","5","Senegal","8","4","91"
"Iran","1","France","3","1","92"
"South Korea","6","Colombia","7","2","92"
"Spain","2","Australia","4","3","92"
"Brazil","6","Japan","8","4","92"
"Portugal","1","France","3","1","93"
"Switzerland","5","Belgium","8","2","93"
"Uruguay","1","Peru","3","3","93"
"Germany","6","Panama","7","4","93"
"Uruguay","1","France","3","1","94"
"Germany","5","Poland","8","2","94"
"Iran","1","Argentina","3","3","94"
"Switzerland","5","Japan","8","4","94"
"Portugal","1","Croatia","3","1","95"
"Brazil","6","Colombia","7","2","95"
"Uruguay","1","Argentina","3","3","95"
"South Korea","5","England","8","4","95"
"Uruguay","1","France","3","1","96"
"Brazil","6","Belgium","8","2","96"
"Morocco","1","Peru","3","3","96"
"Mexico","6","Japan","7","4","96"
"Portugal","1","Australia","4","1","97"
"Switzerland","5","Tunisia","7","2","97"
"Iran","2","Nigeria","4","3","97"
"Brazil","6","England","8","4","97"
"Uruguay","1","France","4","1","98"
"Germany","6","Colombia","7","2","98"
"Morocco","1","Argentina","3","3","98"
"South Korea","6","Belgium","8","4","98"
"Spain","1","Peru","3","1","99"
"Brazil","6","Belgium","8","2","99"
"Egypt","2","Argentina","3","3","99"
"Switzerland","5","Poland","8","4","99"
"Russia","1","Croatia","3","1","100"
"Brazil","6","Colombia","8","2","100"
"Uruguay","1","France","3","3","100"
"Germany","5","England","8","4","100"
"Spain","2","Nigeria","4","1","101"
"Brazil","6","England","8","2","101"
"Iran","2","Argentina","3","3","101"
"Germany","5","Poland","8","4","101"
"Russia","1","Croatia","3","1","102"
"Brazil","6","Colombia","8","2","102"
"Uruguay","1","Peru","3","3","102"
"Costa Rica","6","England","8","4","102"
"Iran","1","France","3","1","103"
"Mexico","6","Belgium","8","2","103"
"Spain","1","Australia","3","3","103"
"Germany","5","England","7","4","103"
"Portugal","1","Denmark","4","1","104"
"Brazil","6","Tunisia","7","2","104"
"Spain","1","Argentina","3","3","104"
"Switzerland","5","Colombia","7","4","104"
"Egypt","2","Iceland","4","1","105"
"Costa Rica","6","Poland","7","2","105"
"Saudi Arabia","2","Croatia","3","3","105"
"Mexico","6","Colombia","7","4","105"
"Iran","1","Iceland","4","1","106"
"Brazil","6","Colombia","7","2","106"
"Portugal","1","France","3","3","106"
"Germany","5","Senegal","8","4","106"
"Spain","2","Croatia","3","1","107"
"Brazil","6","Senegal","8","2","107"
"Uruguay","1","Argentina","3","3","107"
"Mexico","6","Panama","7","4","107"
"Russia","1","France","4","1","108"
"South Korea","6","Poland","8","2","108"
"Uruguay","1","Argentina","3","3","108"
"Brazil","6","England","7","4","108"
"Portugal","1","Nigeria","4","1","109"
"Brazil","6","England","8","2","109"
"Spain","2","Argentina","3","3","109"
"Serbia","6","Japan","7","4","109"
"Uruguay","1","Peru","3","1","110"
"Germany","6","Colombia","7","2","110"
"Spain","2","France","4","3","110"
"Costa Rica","6","Japan","7","4","110"
"Russia","2","France","4","1","111"
"Brazil","6","Japan","8","2","111"
"Uruguay","1","Argentina","3","3","111"
"Mexico","6","Colombia","8","4","111"
"Iran","1","France","3","1","112"
"Serbia","5","Poland","8","2","112"
"Portugal","1","Argentina","3","3","112"
"Costa Rica","6","Colombia","7","4","112"
"Egypt","2","Croatia","3","1","113"
"Brazil","6","Japan","8","2","113"
"Uruguay","1","Australia","3","3","113"
"Germany","6","Colombia","7","4","113"
"Uruguay","1","France","3","1","114"
"Germany","6","Belgium","8","2","114"
"Spain","2","Argentina","3","3","114"
"Mexico","6","Japan","8","4","114"
"Portugal","1","Denmark","4","1","115"
"Mexico","5","Japan","8","2","115"
"Spain","1","Argentina","3","3","115"
"Germany","6","Colombia","7","4","115"
"Spain","2","France","4","1","116"
"Brazil","6","Colombia","7","2","116"
"Uruguay","1","Denmark","3","3","116"
"Germany","5","Poland","8","4","116"
"Russia","1","France","3","1","117"
"Brazil","6","Belgium","8","2","117"
"Uruguay","1","Australia","4","3","117"
"Costa Rica","6","England","7","4","117"
"Uruguay","1","France","4","1","118"
"Brazil","6","Japan","8","2","118"
"Iran","1","Argentina","3","3","118"
"Germany","5","Colombia","7","4","118"
"Uruguay","1","Iceland","4","1","119"
"Costa Rica","6","England","7","2","119"
"Spain","2","Peru","3","3","119"
"Brazil","6","Poland","7","4","119"
"Uruguay","1","France","3","1","120"
"Brazil","6","England","8","2","120"
"Spain","2","Australia","3","3","120"
"Germany","6","Colombia","8","4","120"
"Uruguay","1","Denmark","4","1","121"
"Brazil","6","Panama","8","2","121"
"Portugal","1","Argentina","3","3","121"
"Germany","5","Belgium","8","4","121"
"Iran","2","Argentina","3","1","122"
"Brazil","6","Japan","8","2","122"
"Russia","2","France","4","3","122"
"Germany","6","Belgium","8","4","122"
"Saudi Arabia","2","France","3","1","123"
"Brazil","6","Belgium","8","2","123"
"Uruguay","1","Peru","3","3","123"
"Costa Rica","6","England","7","4","123"
"Spain","1","France","4","1","124"
"Brazil","6","Colombia","8","2","124"
"Portugal","1","Argentina","3","3","124"
"Costa Rica","6","Tunisia","7","4","124"
"Russia","2","Croatia","4","1","125"
"Mexico","6","England","8","2","125"
"Saudi Arabia","1","Argentina","3","3","125"
"Brazil","6","Colombia","7","4","125"
"Iran","1","Australia","3","1","126"
"Germany","6","Senegal","8","2","126"
"Spain","2","Croatia","3","3","126"
"Sweden","6","Belgium","8","4","126"
"Uruguay","1","Australia","4","1","127"
"Mexico","6","Belgium","8","2","127"
"Spain","2","Argentina","3","3","127"
"Germany","5","Poland","8","4","127"
"Spain","1","Croatia","3","1","128"
"Brazil","6","Japan","8","2","128"
"Russia","1","Argentina","3","3","128"
"Switzerland","5","England","8","4","128"
"Uruguay","1","Croatia","3","1","129"
"Brazil","6","Panama","7","2","129"
"Iran","2","Australia","4","3","129"
"Germany","5","England","8","4","129"
"Iran","2","Australia","4","1","130"
"South Korea","6","Poland","8","2","130"
"Spain","2","Croatia","3","3","130"
"Mexico","6","Belgium","8","4","130"
"Iran","2","Croatia","3","1","131"
"Brazil","6","Belgium","8","2","131"
"Uruguay","1","Argentina","3","3","131"
"Germany","5","Poland","8","4","131"
"Uruguay","1","Argentina","3","1","132"
"Brazil","6","England","8","2","132"
"Spain","2","Croatia","4","3","132"
"Germany","6","Colombia","8","4","132"
"Portugal","2","France","3","1","133"
"South Korea","6","England","7","2","133"
"Spain","1","Argentina","3","3","133"
"Germany","5","Poland","7","4","133"
"Portugal","1","France","4","1","134"
"Brazil","6","Japan","8","2","134"
"Spain","2","Argentina","3","3","134"
"Germany","5","England","8","4","134"
"Spain","2","Denmark","3","1","135"
"South Korea","5","Colombia","7","2","135"
"Uruguay","1","Peru","3","3","135"
"Germany","5","Panama","8","4","135"
"Portugal","1","France","4","1","136"
"Brazil","6","Belgium","8","2","136"
"Spain","2","Argentina","3","3","136"
"Germany","6","England","8","4","136"
"Russia","1","Croatia","3","1","137"
"Germany","6","Belgium","8","2","137"
"Portugal","2","Argentina","3","3","137"
"Costa Rica","6","Tunisia","7","4","137"
"Uruguay","1","France","3","1","138"
"Costa Rica","6","Colombia","7","2","138"
"Spain","2","Argentina","3","3","138"
"Brazil","6","Belgium","8","4","138"
"Iran","2","France","3","1","139"
"Germany","6","Japan","8","2","139"
"Uruguay","1","Denmark","3","3","139"
"Brazil","6","Panama","7","4","139"
"Russia","1","Iceland","4","1","140"
"Brazil","6","Belgium","8","2","140"
"Uruguay","1","Peru","3","3","140"
"Germany","5","England","7","4","140"
"Uruguay","1","France","4","1","141"
"Switzerland","5","Poland","8","2","141"
"Iran","1","Argentina","3","3","141"
"Mexico","6","Belgium","8","4","141"
"Portugal","1","Iceland","4","1","142"
"Switzerland","5","Belgium","8","2","142"
"Russia","1","Argentina","3","3","142"
"Germany","5","England","7","4","142"
"Portugal","1","France","4","1","143"
"Mexico","5","Colombia","8","2","143"
"Uruguay","1","Argentina","3","3","143"
"Brazil","6","Poland","7","4","143"
"Russia","1","France","3","1","144"
"Brazil","6","Japan","8","2","144"
"Uruguay","1","Argentina","3","3","144"
"Germany","5","Poland","7","4","144"
"Uruguay","1","France","4","1","145"
"Germany","5","Japan","8","2","145"
"Spain","2","Croatia","3","3","145"
"Switzerland","5","Colombia","8","4","145"
"Russia","1","France","4","1","146"
"Germany","6","Poland","8","2","146"
"Spain","2","Argentina","3","3","146"
"Mexico","6","England","7","4","146"
"Portugal","1","France","4","1","147"
"Mexico","6","Belgium","8","2","147"
"Spain","1","Peru","3","3","147"
"Switzerland","5","Poland","7","4","147"
"Russia","1","Argentina","3","1","148"
"Brazil","6","Japan","8","2","148"
"Spain","1","Croatia","3","3","148"
"Mexico","5","Senegal","8","4","148"
"Egypt","2","Croatia","3","1","149"
"Costa Rica","6","England","8","2","149"
"Portugal","1","Argentina","3","3","149"
"Brazil","6","Japan","8","4","149"
"Spain","2","Argentina","3","1","150"
"Sweden","6","England","8","2","150"
"Uruguay","1","Croatia","4","3","150"
"Germany","5","Belgium","8","4","150"
"Uruguay","1","Argentina","3","1","151"
"South Korea","6","England","7","2","151"
"Spain","2","France","4","3","151"
"Serbia","6","Belgium","8","4","151"
"Uruguay","1","Argentina","3","1","152"
"Brazil","6","Belgium","8","2","152"
"Saudi Arabia","1","Peru","3","3","152"
"Germany","6","England","7","4","152"
"Portugal","1","Argentina","3","1","153"
"Brazil","6","England","7","2","153"
"Uruguay","1","France","4","3","153"
"Serbia","6","Belgium","8","4","153"
"Spain","2","Australia","4","1","154"
"Germany","6","Senegal","8","2","154"
"Portugal","2","Argentina","3","3","154"
"Mexico","6","Poland","8","4","154"
"Uruguay","1","France","3","1","155"
"Brazil","6","Belgium","8","2","155"
"Spain","2","Peru","3","3","155"
"Germany","6","England","8","4","155"
"Iran","1","Croatia","3","1","156"
"Brazil","6","Senegal","8","2","156"
"Spain","2","France","3","3","156"
"Germany","6","Japan","7","4","156"
"Spain","2","Iceland","4","1","157"
"Sweden","6","Poland","8","2","157"
"Iran","1","Peru","3","3","157"
"Brazil","6","Panama","7","4","157"
"Spain","2","France","4","1","158"
"Brazil","6","England","7","2","158"
"Portugal","1","Argentina","3","3","158"
"Germany","6","Belgium","8","4","158"
"Uruguay","1","Argentina","3","1","159"
"South Korea","6","England","8","2","159"
"Russia","1","Croatia","4","3","159"
"Germany","6","Colombia","7","4","159"
"Iran","1","Argentina","3","1","160"
"Brazil","6","Belgium","8","2","160"
"Spain","1","Nigeria","4","3","160"
"Costa Rica","6","Panama","8","4","160"
"Morocco","2","France","4","1","161"
"Germany","5","Colombia","7","2","161"
"Spain","1","Croatia","3","3","161"
"Sweden","6","Poland","8","4","161"
"Spain","1","Croatia","3","1","162"
"Brazil","6","Senegal","8","2","162"
"Portugal","2","Argentina","3","3","162"
"Germany","5","Colombia","7","4","162"
"Portugal","1","Peru","3","1","163"
"Brazil","6","England","8","2","163"
"Spain","2","Croatia","3","3","163"
"South Korea","6","Belgium","8","4","163"
"Spain","2","France","3","1","164"
"South Korea","6","Colombia","7","2","164"
"Portugal","1","Peru","3","3","164"
"Germany","6","Belgium","8","4","164"
"Portugal","1","France","3","1","165"
"Brazil","6","Tunisia","7","2","165"
"Russia","1","Croatia","4","3","165"
"Switzerland","5","Poland","8","4","165"
"Russia","1","France","4","1","166"
"Brazil","6","Japan","8","2","166"
"Egypt","2","Argentina","3","3","166"
"Germany","5","Colombia","7","4","166"
"Portugal","1","Iceland","4","1","167"
"Brazil","6","England","7","2","167"
"Spain","2","Croatia","3","3","167"
"Mexico","6","Japan","8","4","167"
"Portugal","1","France","3","1","168"
"Mexico","5","Belgium","8","2","168"
"Uruguay","1","Argentina","3","3","168"
"Brazil","6","Panama","7","4","168"
"Egypt","2","France","3","1","169"
"Brazil","6","England","8","2","169"
"Spain","1","Denmark","3","3","169"
"Germany","5","Senegal","8","4","169"
"Iran","1","France","3","1","170"
"Brazil","6","Poland","8","2","170"
"Spain","2","Argentina","3","3","170"
"Mexico","6","Belgium","8","4","170"
"Spain","2","France","3","1","171"
"Brazil","6","Belgium","8","2","171"
"Uruguay","1","Croatia","3","3","171"
"Mexico","6","Poland","8","4","171"
"Spain","2","France","4","1","172"
"Mexico","5","Poland","7","2","172"
"Egypt","2","Argentina","3","3","172"
"Sweden","6","Belgium","8","4","172"
"Portugal","1","Argentina","3","1","173"
"Germany","6","Belgium","8","2","173"
"Egypt","2","Australia","4","3","173"
"Serbia","6","England","8","4","173"
"Portugal","2","Croatia","3","1","174"
"Mexico","5","Belgium","8","2","174"
"Russia","1","Argentina","3","3","174"
"Germany","6","Japan","7","4","174"
"Iran","1","Argentina","3","1","175"
"Costa Rica","6","England","7","2","175"
"Uruguay","1","Peru","3","3","175"
"Brazil","6","Poland","8","4","175"
"Russia","1","Iceland","4","1","176"
"Germany","6","England","8","2","176"
"Portugal","1","Argentina","3","3","176"
"Mexico","5","Belgium","8","4","176"
"Uruguay","1","Argentina","3","1","177"
"South Korea","6","Poland","8","2","177"
"Portugal","1","Iceland","3","3","177"
"Switzerland","5","Colombia","7","4","177"
"Egypt","2","France","4","1","178"
"South Korea","6","Colombia","7","2","178"
"Uruguay","1","Argentina","3","3","178"
"Germany","5","Belgium","8","4","178"
"Egypt","2","France","4","1","179"
"Brazil","6","Senegal","7","2","179"
"Russia","1","Peru","3","3","179"
"Mexico","5","Belgium","8","4","179"
"Uruguay","1","Argentina","3","1","180"
"Germany","6","Japan","7","2","180"
"Spain","2","Peru","3","3","180"
"Mexico","5","Colombia","8","4","180"
"Morocco","2","Peru","3","1","181"
"Brazil","6","Poland","8","2","181"
"Portugal","1","France","3","3","181"
"Germany","5","Japan","7","4","181"
"Uruguay","1","Croatia","4","1","182"
"South Korea","6","England","8","2","182"
"Russia","2","Argentina","3","3","182"
"Germany","6","Colombia","7","4","182"
"Portugal","2","France","4","1","183"
"Costa Rica","6","England","7","2","183"
"Spain","2","Denmark","3","3","183"
"Sweden","6","Senegal","8","4","183"
"Iran","1","France","3","1","184"
"Sweden","6","Poland","8","2","184"
