"team","group_team","rank_team","opp_team","group_opp_team","rank_opp","match_num","simulation"
"Wales",1,2,"Belgium",2,1,5,27
"Japan",3,2,"Australia",4,1,6,27
"Brazil",5,2,"Netherlands",6,1,7,27
"Uruguay",7,2,"Portugal",8,1,8,27
"Wales",1,1,"Korea Republic",2,2,1,28
"Netherlands",3,1,"Japan",4,2,2,28
"Argentina",5,1,"Australia",6,2,3,28
"Switzerland",7,1,"Italy",8,2,4,28
"Croatia",1,2,"Spain",2,1,5,28
"Chile",3,2,"Belgium",4,1,6,28
"United States",5,2,"France",6,1,7,28
"England",7,2,"Brazil",8,1,8,28
"Senegal",1,1,"Italy",2,2,1,29
"Belgium",3,1,"Spain",4,2,2,29
"Korea Republic",5,1,"Mexico",6,2,3,29
"Netherlands",7,1,"Uruguay",8,2,4,29
"Qatar",1,2,"England",2,1,5,29
"Croatia",3,2,"Denmark",4,1,6,29
"Germany",5,2,"Brazil",6,1,7,29
"Argentina",7,2,"France",8,1,8,29
"Qatar",1,1,"Iran",2,2,1,30
"Argentina",3,1,"Wales",4,2,2,30
"France",5,1,"Uruguay",6,2,3,30
"Portugal",7,1,"Colombia",8,2,4,30
"Mexico",1,2,"Spain",2,1,5,30
"Korea Republic",3,2,"Denmark",4,1,6,30
"Germany",5,2,"Belgium",6,1,7,30
"Croatia",7,2,"England",8,1,8,30
"Italy",1,1,"Colombia",2,2,1,31
"France",3,1,"England",4,2,2,31
"Australia",5,1,"Mexico",6,2,3,31
"Netherlands",7,1,"Spain",8,2,4,31
"Qatar",1,2,"Portugal",2,1,5,31
"Uruguay",3,2,"Poland",4,1,6,31
"Germany",5,2,"Iran",6,1,7,31
"Brazil",7,2,"Croatia",8,1,8,31
"Uruguay",1,1,"Chile",2,2,1,32
"Australia",3,1,"Colombia",4,2,2,32
"Italy",5,1,"Netherlands",6,2,3,32
"Korea Republic",7,1,"Croatia",8,2,4,32
"Qatar",1,2,"Portugal",2,1,5,32
"Brazil",3,2,"France",4,1,6,32
"Switzerland",5,2,"Argentina",6,1,7,32
"Poland",7,2,"England",8,1,8,32
"Germany",1,1,"Belgium",2,2,1,33
"Mexico",3,1,"Italy",4,2,2,33
"England",5,1,"Japan",6,2,3,33
"Portugal",7,1,"Croatia",8,2,4,33
"Algeria",1,2,"Netherlands",2,1,5,33
"Iran",3,2,"France",4,1,6,33
"Colombia",5,2,"Brazil",6,1,7,33
"Uruguay",7,2,"Spain",8,1,8,33
"United States",1,1,"Japan",2,2,1,34
"Iran",3,1,"Denmark",4,2,2,34
"Argentina",5,1,"Poland",6,2,3,34
"Algeria",7,1,"Portugal",8,2,4,34
"Netherlands",1,2,"Brazil",2,1,5,34
"Croatia",3,2,"Wales",4,1,6,34
"Mexico",5,2,"Spain",6,1,7,34
"Belgium",7,2,"Italy",8,1,8,34
"Denmark",1,1,"Uruguay",2,2,1,35
"Netherlands",3,1,"Jamaica",4,2,2,35
"Argentina",5,1,"Colombia",6,2,3,35
"Portugal",7,1,"Spain",8,2,4,35
"Qatar",1,2,"Belgium",2,1,5,35
"England",3,2,"Brazil",4,1,6,35
"Mexico",5,2,"France",6,1,7,35
"Korea Republic",7,2,"Italy",8,1,8,35
"Netherlands",1,1,"Italy",2,2,1,36
"Denmark",3,1,"Tunisia",4,2,2,36
"Brazil",5,1,"United States",6,2,3,36
"Spain",7,1,"Croatia",8,2,4,36
"Qatar",1,2,"Wales",2,1,5,36
"Korea Republic",3,2,"Portugal",4,1,6,36
"Mexico",5,2,"Belgium",6,1,7,36
"Germany",7,2,"France",8,1,8,36
"Germany",1,1,"Spain",2,2,1,37
"Japan",3,1,"Argentina",4,2,2,37
"England",5,1,"Morocco",6,2,3,37
"Portugal",7,1,"Iran",8,2,4,37
"Poland",1,2,"Korea Republic",2,1,5,37
"Belgium",3,2,"Denmark",4,1,6,37
"United States",5,2,"France",6,1,7,37
"Colombia",7,2,"Brazil",8,1,8,37
"Uruguay",1,1,"Argentina",2,2,1,38
"Chile",3,1,"Costa Rica",4,2,2,38
"Senegal",5,1,"Algeria",6,2,3,38
"Brazil",7,1,"Switzerland",8,2,4,38
"Wales",1,2,"Korea Republic",2,1,5,38
"Spain",3,2,"France",4,1,6,38
"Germany",5,2,"Belgium",6,1,7,38
"Mexico",7,2,"Portugal",8,1,8,38
"United States",1,1,"Costa Rica",2,2,1,39
"Senegal",3,1,"Colombia",4,2,2,39
"Italy",5,1,"Netherlands",6,2,3,39
"Poland",7,1,"Argentina",8,2,4,39
"Qatar",1,2,"Brazil",2,1,5,39
"England",3,2,"Wales",4,1,6,39
"Switzerland",5,2,"Belgium",6,1,7,39
"Spain",7,2,"Mexico",8,1,8,39
"Netherlands",1,1,"Italy",2,2,1,40
"Spain",3,1,"Uruguay",4,2,2,40
"Mexico",5,1,"Colombia",6,2,3,40
"Croatia",7,1,"England",8,2,4,40
"Tunisia",1,2,"Argentina",2,1,5,40
"Denmark",3,2,"Portugal",4,1,6,40
"Brazil",5,2,"France",6,1,7,40
"Belgium",7,2,"Korea Republic",8,1,8,40
"Colombia",1,1,"Italy",2,2,1,41
"Mexico",3,1,"Poland",4,2,2,41
"Netherlands",5,1,"Germany",6,2,3,41
"Brazil",7,1,"Australia",8,2,4,41
"Tunisia",1,2,"Morocco",2,1,5,41
"Algeria",3,2,"Argentina",4,1,6,41
"Chile",5,2,"France",6,1,7,41
"Denmark",7,2,"Belgium",8,1,8,41
"Poland",1,1,"Brazil",2,2,1,42
"Spain",3,1,"England",4,2,2,42
"France",5,1,"Senegal",6,2,3,42
"Colombia",7,1,"Denmark",8,2,4,42
"Uruguay",1,2,"Germany",2,1,5,42
"Croatia",3,2,"Italy",4,1,6,42
"Switzerland",5,2,"Argentina",6,1,7,42
"Belgium",7,2,"Wales",8,1,8,42
"Mexico",1,1,"Tunisia",2,2,1,43
"Italy",3,1,"Belgium",4,2,2,43
"Netherlands",5,1,"Australia",6,2,3,43
"Wales",7,1,"Brazil",8,2,4,43
"Chile",1,2,"France",2,1,5,43
"England",3,2,"United States",4,1,6,43
"Argentina",5,2,"Spain",6,1,7,43
"Portugal",7,2,"Germany",8,1,8,43
"Qatar",1,1,"Iran",2,2,1,44
"Netherlands",3,1,"Uruguay",4,2,2,44
"Croatia",5,1,"Germany",6,2,3,44
"Denmark",7,1,"Mexico",8,2,4,44
"Italy",1,2,"England",2,1,5,44
"Brazil",3,2,"Spain",4,1,6,44
"Argentina",5,2,"France",6,1,7,44
"Portugal",7,2,"Belgium",8,1,8,44
"Croatia",1,1,"Netherlands",2,2,1,45
"Mexico",3,1,"Argentina",4,2,2,45
"United States",5,1,"Uruguay",6,2,3,45
"Belgium",7,1,"Senegal",8,2,4,45
"Qatar",1,2,"Brazil",2,1,5,45
"Korea Republic",3,2,"Germany",4,1,6,45
"Australia",5,2,"France",6,1,7,45
"Japan",7,2,"England",8,1,8,45
"Nigeria",1,1,"Poland",2,2,1,46
"France",3,1,"Japan",4,2,2,46
"Colombia",5,1,"Iran",6,2,3,46
"Germany",7,1,"Croatia",8,2,4,46
"Wales",1,2,"England",2,1,5,46
"United States",3,2,"Brazil",4,1,6,46
"Portugal",5,2,"Spain",6,1,7,46
"Belgium",7,2,"Argentina",8,1,8,46
"Italy",1,1,"Senegal",2,2,1,47
"Uruguay",3,1,"Colombia",4,2,2,47
"Spain",5,1,"Argentina",6,2,3,47
"Switzerland",7,1,"Portugal",8,2,4,47
"United States",1,2,"Brazil",2,1,5,47
"England",3,2,"France",4,1,6,47
"Japan",5,2,"Costa Rica",6,1,7,47
"Belgium",7,2,"Netherlands",8,1,8,47
"Qatar",1,1,"Belgium",2,2,1,48
"Mexico",3,1,"Australia",4,2,2,48
"Spain",5,1,"Japan",6,2,3,48
"France",7,1,"England",8,2,4,48
"Senegal",1,2,"Croatia",2,1,5,48
"Chile",3,2,"Argentina",4,1,6,48
"Korea Republic",5,2,"Netherlands",6,1,7,48
"Italy",7,2,"Denmark",8,1,8,48
"Senegal",1,1,"Jamaica",2,2,1,49
"Brazil",3,1,"Belgium",4,2,2,49
"France",5,1,"Portugal",6,2,3,49
"Switzerland",7,1,"Uruguay",8,2,4,49
"Colombia",1,2,"Netherlands",2,1,5,49
"Iran",3,2,"Korea Republic",4,1,6,49
"Australia",5,2,"Germany",6,1,7,49
"Argentina",7,2,"Spain",8,1,8,49
"Netherlands",1,1,"Chile",2,2,1,50
"France",3,1,"Costa Rica",4,2,2,50
"Japan",5,1,"Uruguay",6,2,3,50
"England",7,1,"Portugal",8,2,4,50
"Qatar",1,2,"Belgium",2,1,5,50
"Germany",3,2,"Brazil",4,1,6,50
"Italy",5,2,"Spain",6,1,7,50
"Australia",7,2,"Nigeria",8,1,8,50
"Morocco",1,1,"Colombia",2,2,1,51
"Denmark",3,1,"Belgium",4,2,2,51
"France",5,1,"Senegal",6,2,3,51
"Uruguay",7,1,"Mexico",8,2,4,51
"Qatar",1,2,"England",2,1,5,51
"Japan",3,2,"Croatia",4,1,6,51
"Italy",5,2,"Brazil",6,1,7,51
"Wales",7,2,"Portugal",8,1,8,51
"Colombia",1,1,"Mexico",2,2,1,52
"Italy",3,1,"Senegal",4,2,2,52
"Uruguay",5,1,"Denmark",6,2,3,52
"Spain",7,1,"Switzerland",8,2,4,52
"Wales",1,2,"Argentina",2,1,5,52
"Chile",3,2,"Brazil",4,1,6,52
"Portugal",5,2,"Korea Republic",6,1,7,52
"Croatia",7,2,"Belgium",8,1,8,52
"Colombia",1,1,"Denmark",2,2,1,53
"Belgium",3,1,"Spain",4,2,2,53
"Germany",5,1,"Nigeria",6,2,3,53
"Croatia",7,1,"Chile",8,2,4,53
"Poland",1,2,"Brazil",2,1,5,53
"Uruguay",3,2,"Iran",4,1,6,53
"Australia",5,2,"Netherlands",6,1,7,53
"Costa Rica",7,2,"Portugal",8,1,8,53
"Italy",1,1,"Colombia",2,2,1,54
"Denmark",3,1,"Mexico",4,2,2,54
"Germany",5,1,"Iran",6,2,3,54
"Brazil",7,1,"Spain",8,2,4,54
"Qatar",1,2,"France",2,1,5,54
"Argentina",3,2,"Portugal",4,1,6,54
"Jamaica",5,2,"Belgium",6,1,7,54
"Netherlands",7,2,"Uruguay",8,1,8,54
"Chile",1,1,"Japan",2,2,1,55
"Belgium",3,1,"Switzerland",4,2,2,55
"Netherlands",5,1,"Portugal",6,2,3,55
"Germany",7,1,"Italy",8,2,4,55
"Qatar",1,2,"Brazil",2,1,5,55
"Uruguay",3,2,"England",4,1,6,55
"Argentina",5,2,"Colombia",6,1,7,55
"Spain",7,2,"France",8,1,8,55
"Mexico",1,1,"Germany",2,2,1,56
"Denmark",3,1,"Italy",4,2,2,56
"Portugal",5,1,"Belgium",6,2,3,56
"England",7,1,"Netherlands",8,2,4,56
"Algeria",1,2,"Brazil",2,1,5,56
"Senegal",3,2,"France",4,1,6,56
"Colombia",5,2,"Uruguay",6,1,7,56
"Wales",7,2,"Spain",8,1,8,56
"Denmark",1,1,"Portugal",2,2,1,57
"Argentina",3,1,"Spain",4,2,2,57
"Belgium",5,1,"Croatia",6,2,3,57
"England",7,1,"Iran",8,2,4,57
"Jamaica",1,2,"Italy",2,1,5,57
"Mexico",3,2,"Wales",4,1,6,57
"Senegal",5,2,"Brazil",6,1,7,57
"Morocco",7,2,"France",8,1,8,57
"Italy",1,1,"Argentina",2,2,1,58
"Brazil",3,1,"Netherlands",4,2,2,58
"Belgium",5,1,"Spain",6,2,3,58
"England",7,1,"Portugal",8,2,4,58
"Switzerland",1,2,"Germany",2,1,5,58
"Croatia",3,2,"France",4,1,6,58
"Uruguay",5,2,"Algeria",6,1,7,58
"Chile",7,2,"Denmark",8,1,8,58
"Colombia",1,1,"Italy",2,2,1,59
"England",3,1,"Brazil",4,2,2,59
"Denmark",5,1,"Chile",6,2,3,59
"Mexico",7,1,"Germany",8,2,4,59
"Qatar",1,2,"Spain",2,1,5,59
"Uruguay",3,2,"Australia",4,1,6,59
"Argentina",5,2,"France",6,1,7,59
"Portugal",7,2,"Belgium",8,1,8,59
"Colombia",1,1,"Australia",2,2,1,60
"Italy",3,1,"Portugal",4,2,2,60
"Brazil",5,1,"Poland",6,2,3,60
"Belgium",7,1,"England",8,2,4,60
"Qatar",1,2,"France",2,1,5,60
"Argentina",3,2,"Mexico",4,1,6,60
"United States",5,2,"Spain",6,1,7,60
"Netherlands",7,2,"Uruguay",8,1,8,60
"Costa Rica",1,1,"Italy",2,2,1,61
"Belgium",3,1,"Spain",4,2,2,61
"Mexico",5,1,"Switzerland",6,2,3,61
"Brazil",7,1,"Portugal",8,2,4,61
"Senegal",1,2,"Poland",2,1,5,61
"Korea Republic",3,2,"Netherlands",4,1,6,61
"Argentina",5,2,"England",6,1,7,61
"Australia",7,2,"Uruguay",8,1,8,61
"Netherlands",1,1,"Algeria",2,2,1,62
"Switzerland",3,1,"Germany",4,2,2,62
"Argentina",5,1,"Colombia",6,2,3,62
"Spain",7,1,"Iran",8,2,4,62
"Qatar",1,2,"France",2,1,5,62
"Denmark",3,2,"Brazil",4,1,6,62
"Tunisia",5,2,"Australia",6,1,7,62
"Italy",7,2,"England",8,1,8,62
"Chile",1,1,"Iran",2,2,1,63
"Korea Republic",3,1,"Australia",4,2,2,63
"Portugal",5,1,"Jamaica",6,2,3,63
"Brazil",7,1,"United States",8,2,4,63
"Qatar",1,2,"France",2,1,5,63
"Wales",3,2,"Netherlands",4,1,6,63
"Japan",5,2,"Croatia",6,1,7,63
"Italy",7,2,"Uruguay",8,1,8,63
"Croatia",1,1,"Senegal",2,2,1,64
"Uruguay",3,1,"France",4,2,2,64
"Italy",5,1,"Argentina",6,2,3,64
"Colombia",7,1,"Spain",8,2,4,64
"Poland",1,2,"Brazil",2,1,5,64
"England",3,2,"Mexico",4,1,6,64
"United States",5,2,"Japan",6,1,7,64
"Belgium",7,2,"Costa Rica",8,1,8,64
"Qatar",1,1,"Korea Republic",2,2,1,65
"Wales",3,1,"Chile",4,2,2,65
"Algeria",5,1,"Poland",6,2,3,65
"England",7,1,"Italy",8,2,4,65
"United States",1,2,"Brazil",2,1,5,65
"Germany",3,2,"Iran",4,1,6,65
"Netherlands",5,2,"Denmark",6,1,7,65
"Costa Rica",7,2,"Belgium",8,1,8,65
"Mexico",1,1,"Switzerland",2,2,1,66
"Portugal",3,1,"Belgium",4,2,2,66
"Japan",5,1,"Korea Republic",6,2,3,66
"Argentina",7,1,"France",8,2,4,66
"Wales",1,2,"Brazil",2,1,5,66
"Germany",3,2,"Italy",4,1,6,66
"Netherlands",5,2,"England",6,1,7,66
"United States",7,2,"Colombia",8,1,8,66
"Croatia",1,1,"Belgium",2,2,1,67
"England",3,1,"Wales",4,2,2,67
"Spain",5,1,"Italy",6,2,3,67
"Argentina",7,1,"France",8,2,4,67
"Poland",1,2,"Japan",2,1,5,67
"Senegal",3,2,"Portugal",4,1,6,67
"Netherlands",5,2,"Switzerland",6,1,7,67
"Denmark",7,2,"Chile",8,1,8,67
"Qatar",1,1,"Denmark",2,2,1,68
"Mexico",3,1,"Senegal",4,2,2,68
"Nigeria",5,1,"Spain",6,2,3,68
"United States",7,1,"France",8,2,4,68
"Colombia",1,2,"Portugal",2,1,5,68
"Belgium",3,2,"Italy",4,1,6,68
"Netherlands",5,2,"Germany",6,1,7,68
"Brazil",7,2,"Uruguay",8,1,8,68
"Costa Rica",1,1,"Colombia",2,2,1,69
"England",3,1,"Italy",4,2,2,69
"Netherlands",5,1,"Japan",6,2,3,69
"Argentina",7,1,"Mexico",8,2,4,69
"Qatar",1,2,"Spain",2,1,5,69
"Germany",3,2,"United States",4,1,6,69
"Wales",5,2,"France",6,1,7,69
"Denmark",7,2,"Belgium",8,1,8,69
"Denmark",1,1,"Iran",2,2,1,70
"Brazil",3,1,"Mexico",4,2,2,70
"Argentina",5,1,"Colombia",6,2,3,70
"Senegal",7,1,"Portugal",8,2,4,70
"Nigeria",1,2,"Italy",2,1,5,70
"Japan",3,2,"France",4,1,6,70
"Croatia",5,2,"Algeria",6,1,7,70
"England",7,2,"Chile",8,1,8,70
"Qatar",1,1,"Denmark",2,2,1,71
"Uruguay",3,1,"Netherlands",4,2,2,71
"Iran",5,1,"Wales",6,2,3,71
"Korea Republic",7,1,"Australia",8,2,4,71
"Algeria",1,2,"Brazil",2,1,5,71
"Portugal",3,2,"Argentina",4,1,6,71
"Germany",5,2,"Spain",6,1,7,71
"Belgium",7,2,"Mexico",8,1,8,71
"Qatar",1,1,"Denmark",2,2,1,72
"France",3,1,"Iran",4,2,2,72
"Brazil",5,1,"Chile",6,2,3,72
"Belgium",7,1,"Uruguay",8,2,4,72
"Costa Rica",1,2,"Switzerland",2,1,5,72
"Germany",3,2,"Argentina",4,1,6,72
"Netherlands",5,2,"Italy",6,1,7,72
"Poland",7,2,"Spain",8,1,8,72
"Germany",1,1,"Poland",2,2,1,73
"Chile",3,1,"Croatia",4,2,2,73
"Portugal",5,1,"Japan",6,2,3,73
"Spain",7,1,"Australia",8,2,4,73
"Qatar",1,2,"France",2,1,5,73
"Belgium",3,2,"Brazil",4,1,6,73
"Colombia",5,2,"England",6,1,7,73
"Uruguay",7,2,"Argentina",8,1,8,73
"Jamaica",1,1,"Iran",2,2,1,74
"Spain",3,1,"Korea Republic",4,2,2,74
"Uruguay",5,1,"Morocco",6,2,3,74
"Denmark",7,1,"Wales",8,2,4,74
"Tunisia",1,2,"Germany",2,1,5,74
"Mexico",3,2,"Belgium",4,1,6,74
"England",5,2,"Argentina",6,1,7,74
"Portugal",7,2,"Brazil",8,1,8,74
"Germany",1,1,"Netherlands",2,2,1,75
"Belgium",3,1,"Australia",4,2,2,75
"Mexico",5,1,"Wales",6,2,3,75
"Nigeria",7,1,"Italy",8,2,4,75
"Qatar",1,2,"France",2,1,5,75
"Denmark",3,2,"Croatia",4,1,6,75
"Argentina",5,2,"England",6,1,7,75
