"team","group_team","opp_team","group_opp_team","match_num_semi","simulation"
"Mexico","4","France","7","2","57"
"Brazil","4","Belgium","8","1","58"
"France","1","Algeria","8","2","58"
"Brazil","2","Denmark","7","1","59"
"Spain","3","Portugal","7","2","59"
"Colombia","4","Brazil","6","1","60"
"Mexico","4","Spain","5","2","60"
"Belgium","2","Portugal","6","1","61"
"Netherlands","1","Uruguay","8","2","61"
"Germany","1","Spain","7","1","62"
"Brazil","1","England","7","2","62"
"Chile","3","Brazil","5","1","63"
"France","3","Japan","5","2","63"
"Uruguay","3","Spain","8","1","64"
"Brazil","4","Belgium","5","2","64"
"Chile","1","Algeria","8","1","65"
"Brazil","4","Denmark","5","2","65"
"Mexico","2","Japan","6","1","66"
"Wales","1","Colombia","5","2","66"
"Belgium","4","Italy","5","1","67"
"Portugal","3","Denmark","6","2","67"
"Mexico","4","Nigeria","6","1","68"
"Colombia","2","Netherlands","5","2","68"
"Colombia","4","Argentina","5","1","69"
"Qatar","2","France","5","2","69"
"Denmark","2","Colombia","7","1","70"
"Italy","1","England","7","2","70"
"Denmark","3","Australia","6","1","71"
"Brazil","2","Spain","6","2","71"
"France","1","Brazil","6","1","72"
"Argentina","2","Spain","8","2","72"
"Poland","2","Spain","7","1","73"
"Belgium","1","Argentina","6","2","73"
"Spain","3","Uruguay","8","1","74"
"Mexico","3","Argentina","7","2","74"
"Germany","2","Mexico","6","1","75"
"France","1","England","7","2","75"
"Denmark","4","Tunisia","6","1","76"
"Belgium","4","Argentina","7","2","76"
"Brazil","2","Croatia","5","1","77"
"Portugal","4","Morocco","8","2","77"
"Argentina","4","Portugal","5","1","78"
"Italy","3","Spain","6","2","78"
"Brazil","4","Denmark","6","1","79"
"Poland","4","Germany","5","2","79"
"Denmark","3","Korea Republic","6","1","80"
"France","1","Mexico","6","2","80"
"Germany","3","Belgium","8","1","81"
"Brazil","1","Switzerland","5","2","81"
"Uruguay","3","Germany","7","1","82"
"Brazil","3","Belgium","5","2","82"
"Croatia","3","Japan","8","1","83"
"Chile","1","Brazil","5","2","83"
"Germany","3","Denmark","6","1","84"
"Colombia","2","France","8","2","84"
"Germany","2","Brazil","8","1","85"
"Portugal","1","England","6","2","85"
"Switzerland","4","Portugal","8","1","86"
"Uruguay","2","Brazil","8","2","86"
"Belgium","2","Argentina","6","1","87"
"Tunisia","1","Netherlands","7","2","87"
"Netherlands","1","Spain","5","1","88"
"Mexico","2","France","8","2","88"
"Spain","3","Mexico","5","1","89"
"Uruguay","1","France","7","2","89"
"Italy","2","Spain","8","1","90"
"Poland","2","Netherlands","6","2","90"
"Qatar","4","Portugal","6","1","91"
"France","1","Brazil","7","2","91"
"Belgium","1","Portugal","6","1","92"
"Argentina","1","Brazil","5","2","92"
"United States","3","Netherlands","7","1","93"
"Argentina","3","Brazil","5","2","93"
"Croatia","4","Senegal","5","1","94"
"France","3","Italy","5","2","94"
"Netherlands","3","Colombia","5","1","95"
"France","4","Italy","7","2","95"
"Spain","2","Mexico","5","1","96"
"Brazil","1","Argentina","8","2","96"
"Iran","2","Portugal","6","1","97"
"Argentina","3","Belgium","6","2","97"
"Italy","4","Portugal","7","1","98"
"Brazil","1","Denmark","7","2","98"
"Wales","3","France","7","1","99"
"Croatia","4","Netherlands","6","2","99"
"Netherlands","4","Poland","8","1","100"
"Brazil","1","France","6","2","100"
"Croatia","2","Netherlands","6","1","101"
"Brazil","3","Uruguay","8","2","101"
"Brazil","2","France","8","1","102"
"Argentina","2","Portugal","6","2","102"
"Portugal","1","Belgium","8","1","103"
"Denmark","2","Spain","6","2","103"
"Switzerland","4","Denmark","5","1","104"
"England","1","Belgium","6","2","104"
"Denmark","2","Spain","8","1","105"
"Croatia","2","Netherlands","5","2","105"
"Netherlands","4","England","8","1","106"
"Brazil","4","Portugal","8","2","106"
"Argentina","1","Australia","5","1","107"
"Qatar","4","Denmark","5","2","107"
"Netherlands","4","Croatia","8","1","108"
"Belgium","4","France","5","2","108"
"France","1","Portugal","8","1","109"
"Belgium","3","England","6","2","109"
"Brazil","2","Australia","5","1","110"
"Switzerland","1","France","8","2","110"
"Netherlands","4","Croatia","5","1","111"
"England","3","Argentina","5","2","111"
"Poland","3","Portugal","5","1","112"
"Mexico","4","Uruguay","8","2","112"
"Qatar","1","Germany","8","1","113"
"Netherlands","1","Brazil","6","2","113"
"Uruguay","3","France","7","1","114"
"Portugal","1","Spain","6","2","114"
"England","4","Spain","7","1","115"
"Brazil","3","Croatia","5","2","115"
"Uruguay","1","Denmark","6","1","116"
"Portugal","2","Germany","5","2","116"
"Italy","4","Denmark","8","1","117"
"England","4","Brazil","6","2","117"
"Qatar","1","Belgium","5","1","118"
"Brazil","2","Chile","6","2","118"
"Denmark","3","England","6","1","119"
"Italy","3","Argentina","6","2","119"
"Germany","2","France","5","1","120"
"Brazil","3","Korea Republic","6","2","120"
"Poland","1","Belgium","6","1","121"
"Spain","3","Mexico","8","2","121"
"Denmark","3","Germany","7","1","122"
"Brazil","2","Mexico","6","2","122"
"Croatia","2","Poland","7","1","123"
"Portugal","1","Brazil","7","2","123"
"Colombia","4","England","6","1","124"
"Mexico","1","Italy","7","2","124"
"Mexico","2","Brazil","6","1","125"
"France","4","Belgium","5","2","125"
"France","1","Spain","6","1","126"
"Brazil","3","Italy","8","2","126"
"Italy","4","Belgium","8","1","127"
"Argentina","4","Brazil","6","2","127"
"Italy","3","Germany","8","1","128"
"Denmark","3","Argentina","8","2","128"
"Germany","1","France","5","1","129"
"Italy","3","Brazil","8","2","129"
"Netherlands","1","Spain","5","1","130"
"Belgium","3","Italy","6","2","130"
"Italy","3","Switzerland","8","1","131"
"Spain","2","Denmark","8","2","131"
"Algeria","4","Croatia","8","1","132"
"Colombia","1","Portugal","8","2","132"
"Brazil","1","Belgium","5","1","133"
"France","1","Spain","8","2","133"
"Croatia","2","France","6","1","134"
"Brazil","3","Argentina","7","2","134"
"Netherlands","3","Brazil","7","1","135"
"Belgium","2","Spain","5","2","135"
"Germany","1","Brazil","8","1","136"
"Spain","2","Belgium","8","2","136"
"United States","4","Poland","7","1","137"
"France","1","Belgium","8","2","137"
"Brazil","2","Japan","6","1","138"
"England","1","Chile","5","2","138"
"Brazil","2","England","5","1","139"
"Belgium","1","Mexico","6","2","139"
"Qatar","1","Belgium","7","1","140"
"Denmark","4","Spain","8","2","140"
"Brazil","2","Colombia","8","1","141"
"France","1","Croatia","7","2","141"
"Spain","2","Germany","6","1","142"
"Italy","1","France","5","2","142"
"Poland","2","Belgium","8","1","143"
"Argentina","1","Spain","7","2","143"
"Japan","1","Netherlands","6","1","144"
"Italy","4","France","6","2","144"
"Argentina","2","Mexico","7","1","145"
"Netherlands","1","Spain","7","2","145"
