"team","group_team","opp_team","group_opp_team","match_num_semi","simulation"
"Argentina","1","England","6","2","35"
"France","1","Colombia","7","1","36"
"Iceland","1","Germany","6","2","36"
"Uruguay","1","Brazil","7","1","37"
"Saudi Arabia","2","Belgium","6","2","37"
"Croatia","1","Brazil","7","1","38"
"Spain","2","Senegal","8","2","38"
"France","1","Costa Rica","8","1","39"
"Spain","1","Belgium","5","2","39"
"Uruguay","1","South Korea","5","1","40"
"Argentina","2","Brazil","7","2","40"
"Argentina","1","Mexico","8","1","41"
"Spain","2","Germany","5","2","41"
"Argentina","1","England","7","1","42"
"Spain","2","Japan","8","2","42"
"Iran","1","Germany","7","1","43"
"Spain","2","Costa Rica","8","2","43"
"France","2","Serbia","5","1","44"
"Uruguay","1","Colombia","6","2","44"
"Argentina","1","Japan","6","1","45"
"France","2","Germany","5","2","45"
"France","1","Brazil","7","1","46"
"Croatia","1","Poland","8","2","46"
"Uruguay","1","Belgium","5","1","47"
"Russia","2","Costa Rica","7","2","47"
"Iran","1","England","5","1","48"
"Uruguay","1","Brazil","6","2","48"
"France","1","Senegal","6","1","49"
"Argentina","1","Germany","8","2","49"
"Egypt","2","England","8","1","50"
"Iran","1","Panama","7","2","50"
"France","1","Brazil","6","1","51"
"Portugal","1","Germany","5","2","51"
"Argentina","1","England","5","1","52"
"Croatia","1","Brazil","6","2","52"
"Uruguay","1","England","5","1","53"
"Argentina","1","Germany","8","2","53"
"Russia","1","Germany","6","1","54"
"Egypt","2","Switzerland","5","2","54"
"Spain","2","Brazil","8","1","55"
"Argentina","1","Poland","8","2","55"
"Denmark","1","Brazil","8","1","56"
"France","1","Colombia","6","2","56"
"France","2","England","8","1","57"
"Uruguay","1","Costa Rica","6","2","57"
"Uruguay","1","Germany","6","1","58"
"Portugal","1","Belgium","5","2","58"
"Uruguay","1","England","6","1","59"
"Morocco","1","Mexico","5","2","59"
"Spain","2","Poland","8","1","60"
"Iran","2","Japan","6","2","60"
"Croatia","1","Mexico","7","1","61"
"Uruguay","1","Germany","6","2","61"
"Uruguay","1","Brazil","8","1","62"
"Argentina","1","Switzerland","5","2","62"
"Denmark","1","Brazil","6","1","63"
"Russia","1","Poland","8","2","63"
"Argentina","2","Brazil","7","1","64"
"Spain","1","Serbia","5","2","64"
"Uruguay","1","Germany","6","1","65"
"Russia","1","Mexico","8","2","65"
"Argentina","1","Japan","6","1","66"
"Portugal","1","Germany","6","2","66"
"France","1","Germany","8","1","67"
"Uruguay","1","Mexico","8","2","67"
"Portugal","1","Brazil","8","1","68"
"Spain","1","Mexico","5","2","68"
"Argentina","2","Brazil","8","1","69"
"Russia","1","Germany","5","2","69"
"Argentina","1","England","6","1","70"
"Croatia","2","Belgium","6","2","70"
"Croatia","1","Brazil","6","1","71"
"Spain","2","England","6","2","71"
"Spain","1","England","8","1","72"
"Croatia","2","Germany","5","2","72"
"Argentina","1","Belgium","6","1","73"
"Peru","1","Costa Rica","8","2","73"
"Spain","1","Brazil","7","1","74"
"Argentina","1","Costa Rica","6","2","74"
